cancer,diabetes,inconclusive,testing,safe,risk,stomach,asthma,LIVER,Heart
Sodium Benzoate,High fructose corn syrup,melamine,Propyl Gallate,azodicarbon,artificial flavor,monsosodum glutamate,benzoic acid,Orange B,Trans Fat
potassium bromate,Unbleached enriched flour,Silicon Dioxide,Tert-Butylhydroquinone (TBHQ),butylated,canthaxanthin,sodium caseinate,maltodextrin,polychlorinated biphenyl,
nitrate/nitrite,,Monosodium Glutamate ,,calcium sulfate,Perfluorooctanoic Acid (PFOA),olestra,Azodicarbonamide,Acesulfame potassium,Olestra
acrylamid,,Xanthan Gum,,ethyl carbamate,Perchlorate,ammonium sulfate,Bleached starch,Agave nectar,Refined vegetable oil
furan,,,,Sodium Stearoyl Lactylate (SSL),high fructose corn syrup ,Disodium inosinate,Bixin,,Canola oil
Tartrazine,,,,Triacetin (Glycerol Triacetate),Guar Gum,soy lecithin,Norbixin,,Sunflower oil
Artificial Food Coloring,,,,propylene glycol,Carrageenan,Olestra,Annatto,,Unbleached enriched flour
sodium nitrite,,,,beeswax,Yeast extract,Aspartame,Red 2,,
High-Fructose Corn Syrup,,,,Water,Sulfite,,Red 2 Lake,,
aspartame,,,,,Sodium benzoate,,Pectin,,
propyl gallate,,,,,Brominated vegetable oil,,,,
BHA/BHT,,,,,Sucralose,,,,
Recombinant Bovine Growth Hormone,,,,,Sodium diacitate,,,,
Refined vegetable oil,,,,,Disodium Inosinate,,,,
Propyl gallate,,,,,Disodium Guanylate,,,,
Carrageenan,,,,,Sodium citrate,,,,
Polysorbate 60,,,,,dextrose,,,,
Camauba wax,,,,,riboflavin,,,,
Magnesium sulphate,,,,,,,,,
Chlorine dioxide,,,,,,,,,
Paraben,,,,,,,,,
Sodium carboxymethyl cellulose,,,,,,,,,
Saccharin,,,,,,,,,
Aluminum,,,,,,,,,
Acesulfame potassium,,,,,,,,,
Agave nectar,,,,,,,,,
Tert butylhydroquinone,,,,,,,,,
Red 40,,,,,,,,,
Blue 1,,,,,,,,,
Blue 2,,,,,,,,,
Citrus red 1,,,,,,,,,
Citrus red 2,,,,,,,,,
Green 3,,,,,,,,,
Yellow 5,,,,,,,,,
Yellow 6,,,,,,,,,
Red 2,,,,,,,,,
Red 3,,,,,,,,,
Caramel coloring,,,,,,,,,
Brown HT,,,,,,,,,
Sunflower Oil,,,,,,,,,
Red 40 Lake,,,,,,,,,
Blue 1 Lake,,,,,,,,,
Blue 2 Lake,,,,,,,,,
Citrus red 1 Lake,,,,,,,,,
Citrus red 2 Lake,,,,,,,,,
Green 3 Lake,,,,,,,,,
Yellow 5 Lake,,,,,,,,,
Yellow 6 Lake,,,,,,,,,
Red 2 Lake,,,,,,,,,
Red 3 Lake,,,,,,,,,
